# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5904,SUCCESS,330.0180,-97,DISPLAY,0,0
2,6559,SUCCESS,326.3221,-96,DISPLAY,0,0
3,7215,SUCCESS,321.6571,-97,DISPLAY,0,0
4,7871,SUCCESS,320.6881,-98,DISPLAY,0,0
5,8526,SUCCESS,290.7827,-100,DISPLAY,0,0
6,9182,SUCCESS,278.2527,-94,DISPLAY,0,0
7,9837,SUCCESS,266.3987,-97,DISPLAY,0,0
8,10492,SUCCESS,313.6118,-94,DISPLAY,0,0
9,11148,SUCCESS,282.2641,-94,DISPLAY,0,0
10,11803,SUCCESS,269.9594,-94,DISPLAY,0,0
11,12463,SUCCESS,293.7350,-92,DISPLAY,0,0
12,13118,SUCCESS,295.2223,-93,DISPLAY,0,0
13,13774,SUCCESS,289.5432,-93,DISPLAY,0,0
14,14429,SUCCESS,275.1202,-93,DISPLAY,0,0
15,15085,SUCCESS,306.8284,-90,DISPLAY,0,0
16,15740,SUCCESS,309.0820,-91,DISPLAY,0,0
17,16396,SUCCESS,322.4684,-90,DISPLAY,0,0
18,17052,SUCCESS,316.9246,-84,DISPLAY,0,0
19,17707,SUCCESS,294.6815,-89,DISPLAY,0,0
20,18363,SUCCESS,310.1863,-90,DISPLAY,0,0
21,19023,SUCCESS,308.9243,-91,DISPLAY,0,0
22,19679,SUCCESS,296.6421,-90,DISPLAY,0,0
23,20334,SUCCESS,306.0622,-91,DISPLAY,0,0
24,20990,SUCCESS,289.0925,-93,DISPLAY,0,0
25,21645,SUCCESS,297.9943,-90,DISPLAY,0,0
26,22301,SUCCESS,301.1042,-94,DISPLAY,0,0
27,22956,SUCCESS,310.6370,-93,DISPLAY,0,0
28,23612,SUCCESS,322.4459,-92,DISPLAY,0,0
29,24267,SUCCESS,331.8434,-91,DISPLAY,0,0
30,24923,SUCCESS,330.6265,-91,DISPLAY,0,0
31,25583,SUCCESS,323.5276,-90,DISPLAY,0,0
32,26239,SUCCESS,321.9952,-88,DISPLAY,0,0
33,26894,SUCCESS,323.4375,-89,DISPLAY,0,0
34,27550,SUCCESS,321.8825,-91,DISPLAY,0,0
35,28205,SUCCESS,328.7335,-93,DISPLAY,0,0
36,28861,SUCCESS,315.3245,-96,DISPLAY,0,0
37,29516,SUCCESS,294.0504,-94,DISPLAY,0,0
38,30172,SUCCESS,287.2896,-96,DISPLAY,0,0
39,30827,SUCCESS,287.5826,-98,DISPLAY,0,0
40,31483,SUCCESS,306.3551,-90,DISPLAY,0,0
41,32143,SUCCESS,301.7127,-93,DISPLAY,0,0
42,32798,SUCCESS,297.9717,-94,DISPLAY,0,0
43,33454,SUCCESS,301.1944,-91,DISPLAY,0,0
44,34109,SUCCESS,294.0279,-92,DISPLAY,0,0
45,34765,SUCCESS,298.9859,-88,DISPLAY,0,0
46,35421,SUCCESS,301.9606,-90,DISPLAY,0,0
47,36076,SUCCESS,295.1998,-89,DISPLAY,0,0
48,36732,SUCCESS,300.7662,-88,DISPLAY,0,0
49,37387,SUCCESS,307.2340,-88,DISPLAY,0,0
50,38043,SUCCESS,313.6568,-88,DISPLAY,0,0
51,38703,SUCCESS,319.1556,-87,DISPLAY,0,0
52,39359,SUCCESS,316.1809,-88,DISPLAY,0,0
53,40014,SUCCESS,317.6682,-87,DISPLAY,0,0
54,40670,SUCCESS,312.9131,-87,DISPLAY,0,0
55,41325,SUCCESS,314.4005,-88,DISPLAY,0,0
56,41981,SUCCESS,313.2286,-89,DISPLAY,0,0
57,42637,SUCCESS,304.6875,-89,DISPLAY,0,0
58,43292,SUCCESS,312.7328,-87,DISPLAY,0,0
59,43948,SUCCESS,300.7887,-88,DISPLAY,0,0
60,44603,SUCCESS,308.6764,-91,DISPLAY,0,0
61,45264,SUCCESS,304.2818,-94,DISPLAY,0,0
62,45920,SUCCESS,324.2713,-91,DISPLAY,0,0
63,46575,SUCCESS,314.7160,-90,DISPLAY,0,0
64,47231,SUCCESS,315.0090,-88,DISPLAY,0,0
65,47887,SUCCESS,320.9360,-88,DISPLAY,0,0
66,48542,SUCCESS,305.9270,-89,DISPLAY,0,0
67,49198,SUCCESS,303.1100,-89,DISPLAY,0,0
68,49854,SUCCESS,306.5129,-90,DISPLAY,0,0
69,50509,SUCCESS,328.2151,-90,DISPLAY,0,0
70,51165,SUCCESS,330.9871,-89,DISPLAY,0,0
71,51825,SUCCESS,329.2292,-89,DISPLAY,0,0
72,52480,SUCCESS,306.0396,-91,DISPLAY,0,0
73,53136,TIMEOUT,NaN,0,RANGING,1,-901
74,63781,SUCCESS,291.2560,-93,DISPLAY,0,0
75,64437,SUCCESS,281.3852,-91,DISPLAY,0,0
76,65092,SUCCESS,285.8924,-99,DISPLAY,0,0
77,65748,SUCCESS,341.3311,-93,DISPLAY,0,0
78,66404,SUCCESS,292.3603,-100,DISPLAY,0,0
79,67059,SUCCESS,315.9555,-98,DISPLAY,0,0
80,67715,SUCCESS,402.7193,-100,DISPLAY,0,0
81,68375,TIMEOUT,NaN,0,RANGING,1,-901
82,79020,SUCCESS,323.1445,-94,DISPLAY,0,0
83,79676,SUCCESS,319.1331,-91,DISPLAY,0,0
84,80331,SUCCESS,333.8942,-93,DISPLAY,0,0
85,80987,SUCCESS,331.7307,-95,DISPLAY,0,0
86,81642,SUCCESS,382.5270,-98,DISPLAY,0,0
87,82298,SUCCESS,342.5931,-94,DISPLAY,0,0
88,82953,SUCCESS,329.6574,-96,DISPLAY,0,0
89,83609,SUCCESS,373.0168,-99,DISPLAY,0,0
90,84264,SUCCESS,348.2722,-99,DISPLAY,0,0
91,84925,SUCCESS,361.5460,-102,DISPLAY,0,0
92,85581,SUCCESS,293.7124,-97,DISPLAY,0,0
93,86236,SUCCESS,365.5123,-94,DISPLAY,0,0
94,86892,SUCCESS,324.9474,-94,DISPLAY,0,0
95,87547,SUCCESS,386.8089,-94,DISPLAY,0,0
96,88203,SUCCESS,518.8026,-98,DISPLAY,0,0
97,88858,SUCCESS,414.9564,-101,DISPLAY,0,0
98,89514,SUCCESS,325.0601,-100,DISPLAY,0,0
99,90169,SUCCESS,339.6184,-98,DISPLAY,0,0
100,90825,SUCCESS,278.8386,-102,DISPLAY,0,0
