# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5898,SUCCESS,30.2434,-70,DISPLAY,0,0
2,6553,SUCCESS,29.6574,-72,DISPLAY,0,0
3,7209,SUCCESS,29.8152,-70,DISPLAY,0,0
4,7864,SUCCESS,29.2293,-72,DISPLAY,0,0
5,8520,SUCCESS,27.8771,-66,DISPLAY,0,0
6,9175,SUCCESS,28.7785,-74,DISPLAY,0,0
7,9831,SUCCESS,31.8885,-69,DISPLAY,0,0
8,10486,SUCCESS,30.0631,-68,DISPLAY,0,0
9,11142,SUCCESS,29.7025,-68,DISPLAY,0,0
10,11797,SUCCESS,29.2293,-66,DISPLAY,0,0
11,12458,SUCCESS,29.1842,-66,DISPLAY,0,0
12,13114,SUCCESS,29.7927,-71,DISPLAY,0,0
13,13769,SUCCESS,28.9363,-72,DISPLAY,0,0
14,14425,SUCCESS,29.9730,-73,DISPLAY,0,0
15,15081,SUCCESS,26.7728,-79,DISPLAY,0,0
16,15736,SUCCESS,27.5616,-76,DISPLAY,0,0
17,16392,SUCCESS,32.8576,-75,DISPLAY,0,0
18,17047,SUCCESS,31.3477,-68,DISPLAY,0,0
19,17703,SUCCESS,29.3194,-70,DISPLAY,0,0
20,18358,SUCCESS,28.7109,-65,DISPLAY,0,0
21,19019,SUCCESS,28.5757,-71,DISPLAY,0,0
22,19674,SUCCESS,29.8377,-71,DISPLAY,0,0
23,20330,SUCCESS,29.2518,-71,DISPLAY,0,0
24,20985,SUCCESS,28.6433,-70,DISPLAY,0,0
25,21641,SUCCESS,30.1532,-71,DISPLAY,0,0
26,22296,SUCCESS,28.4856,-70,DISPLAY,0,0
27,22951,SUCCESS,29.0264,-70,DISPLAY,0,0
28,23607,SUCCESS,27.5841,-71,DISPLAY,0,0
29,24262,SUCCESS,29.3194,-70,DISPLAY,0,0
30,24917,SUCCESS,28.5757,-70,DISPLAY,0,0
31,25577,SUCCESS,29.0940,-70,DISPLAY,0,0
32,26233,SUCCESS,29.1842,-71,DISPLAY,0,0
33,26888,SUCCESS,28.9814,-72,DISPLAY,0,0
34,27543,SUCCESS,28.6433,-70,DISPLAY,0,0
35,28198,SUCCESS,30.8969,-68,DISPLAY,0,0
36,28853,SUCCESS,30.9420,-68,DISPLAY,0,0
37,29509,SUCCESS,30.0406,-68,DISPLAY,0,0
38,30163,SUCCESS,30.3561,-69,DISPLAY,0,0
39,30818,SUCCESS,30.3110,-65,DISPLAY,0,0
40,31473,SUCCESS,30.8068,-70,DISPLAY,0,0
41,32133,SUCCESS,29.9053,-72,DISPLAY,0,0
42,32788,SUCCESS,29.1617,-74,DISPLAY,0,0
43,33443,SUCCESS,28.9363,-73,DISPLAY,0,0
44,34098,SUCCESS,30.1758,-70,DISPLAY,0,0
45,34753,SUCCESS,28.8011,-71,DISPLAY,0,0
46,35408,SUCCESS,29.2743,-74,DISPLAY,0,0
47,36063,SUCCESS,29.3194,-71,DISPLAY,0,0
48,36718,SUCCESS,30.1082,-70,DISPLAY,0,0
49,37373,SUCCESS,26.7728,-74,DISPLAY,0,0
50,38027,SUCCESS,31.6632,-68,DISPLAY,0,0
51,38687,SUCCESS,29.9053,-72,DISPLAY,0,0
52,39342,SUCCESS,29.0940,-73,DISPLAY,0,0
53,39997,SUCCESS,27.8771,-71,DISPLAY,0,0
54,40652,SUCCESS,28.8687,-67,DISPLAY,0,0
55,41307,SUCCESS,30.6265,-67,DISPLAY,0,0
56,41962,SUCCESS,28.8687,-70,DISPLAY,0,0
57,42617,SUCCESS,30.4462,-72,DISPLAY,0,0
58,43272,SUCCESS,30.1983,-72,DISPLAY,0,0
59,43927,SUCCESS,29.7927,-71,DISPLAY,0,0
60,44582,SUCCESS,29.0715,-71,DISPLAY,0,0
61,45241,SUCCESS,28.5983,-71,DISPLAY,0,0
62,45896,SUCCESS,29.4546,-71,DISPLAY,0,0
63,46551,SUCCESS,29.7251,-70,DISPLAY,0,0
64,47206,SUCCESS,28.4405,-65,DISPLAY,0,0
65,47861,SUCCESS,29.2067,-70,DISPLAY,0,0
66,48516,SUCCESS,30.4913,-70,DISPLAY,0,0
67,49172,SUCCESS,28.3278,-70,DISPLAY,0,0
68,49827,SUCCESS,29.1166,-70,DISPLAY,0,0
69,50482,SUCCESS,29.5898,-69,DISPLAY,0,0
70,51137,SUCCESS,29.6349,-65,DISPLAY,0,0
