# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5904,SUCCESS,193.0889,-85,DISPLAY,0,0
2,6590,SUCCESS,186.7788,-86,DISPLAY,0,0
3,7276,SUCCESS,194.8918,-85,DISPLAY,0,0
4,7962,SUCCESS,192.8185,-86,DISPLAY,0,0
5,8648,SUCCESS,184.4351,-87,DISPLAY,0,0
6,9334,SUCCESS,187.5901,-86,DISPLAY,0,0
7,10020,SUCCESS,192.0973,-86,DISPLAY,0,0
8,10706,SUCCESS,193.0889,-85,DISPLAY,0,0
9,11392,SUCCESS,191.8269,-84,DISPLAY,0,0
10,12078,SUCCESS,192.5481,-85,DISPLAY,0,0
11,12769,SUCCESS,181.0997,-86,DISPLAY,0,0
12,13455,SUCCESS,186.5985,-85,DISPLAY,0,0
13,14141,SUCCESS,185.6070,-87,DISPLAY,0,0
14,14827,SUCCESS,184.2548,-87,DISPLAY,0,0
15,15514,SUCCESS,191.4663,-85,DISPLAY,0,0
16,16200,SUCCESS,184.7055,-87,DISPLAY,0,0
17,16886,SUCCESS,188.9423,-86,DISPLAY,0,0
18,17572,SUCCESS,187.5901,-86,DISPLAY,0,0
19,18258,SUCCESS,189.9339,-86,DISPLAY,0,0
20,18944,SUCCESS,190.7452,-85,DISPLAY,0,0
21,19635,SUCCESS,186.5084,-87,DISPLAY,0,0
22,20321,SUCCESS,177.2235,-88,DISPLAY,0,0
23,21007,SUCCESS,182.5421,-87,DISPLAY,0,0
24,21693,SUCCESS,194.1707,-86,DISPLAY,0,0
25,22379,SUCCESS,186.9591,-86,DISPLAY,0,0
26,23064,SUCCESS,189.8437,-85,DISPLAY,0,0
27,23750,SUCCESS,189.5733,-86,DISPLAY,0,0
28,24436,SUCCESS,189.3930,-85,DISPLAY,0,0
29,25122,SUCCESS,194.2608,-86,DISPLAY,0,0
30,25808,SUCCESS,194.0805,-86,DISPLAY,0,0
31,26499,SUCCESS,186.9591,-86,DISPLAY,0,0
32,27185,SUCCESS,183.8942,-87,DISPLAY,0,0
33,27871,SUCCESS,187.5000,-85,DISPLAY,0,0
34,28557,SUCCESS,188.6719,-85,DISPLAY,0,0
35,29243,SUCCESS,188.4014,-87,DISPLAY,0,0
36,29929,SUCCESS,180.9195,-87,DISPLAY,0,0
37,30615,SUCCESS,184.5252,-87,DISPLAY,0,0
38,31301,SUCCESS,181.8209,-87,DISPLAY,0,0
39,31987,SUCCESS,179.8377,-88,DISPLAY,0,0
40,32673,SUCCESS,181.2800,-87,DISPLAY,0,0
41,33364,SUCCESS,182.9026,-87,DISPLAY,0,0
42,34050,SUCCESS,180.3786,-87,DISPLAY,0,0
43,34736,SUCCESS,180.3786,-87,DISPLAY,0,0
44,35421,SUCCESS,180.1082,-87,DISPLAY,0,0
45,36107,SUCCESS,184.1646,-87,DISPLAY,0,0
46,36793,SUCCESS,187.2296,-87,DISPLAY,0,0
47,37478,SUCCESS,181.3702,-87,DISPLAY,0,0
48,38164,SUCCESS,184.4351,-87,DISPLAY,0,0
49,38850,SUCCESS,185.3365,-88,DISPLAY,0,0
50,39536,SUCCESS,188.3113,-87,DISPLAY,0,0
51,40226,SUCCESS,184.9760,-86,DISPLAY,0,0
52,40911,SUCCESS,185.6971,-87,DISPLAY,0,0
53,41597,SUCCESS,183.2632,-87,DISPLAY,0,0
54,42282,SUCCESS,181.5505,-87,DISPLAY,0,0
55,42968,SUCCESS,185.6971,-84,DISPLAY,0,0
56,43653,SUCCESS,188.1310,-86,DISPLAY,0,0
57,44339,SUCCESS,190.1142,-85,DISPLAY,0,0
58,45025,SUCCESS,186.9591,-85,DISPLAY,0,0
59,45710,SUCCESS,183.6238,-87,DISPLAY,0,0
60,46396,SUCCESS,189.7536,-84,DISPLAY,0,0
61,47087,SUCCESS,189.3029,-85,DISPLAY,0,0
62,47772,SUCCESS,187.2296,-86,DISPLAY,0,0
63,48458,SUCCESS,182.4519,-87,DISPLAY,0,0
64,49143,SUCCESS,180.6490,-88,DISPLAY,0,0
65,49829,SUCCESS,186.2380,-87,DISPLAY,0,0
66,50514,SUCCESS,186.1478,-88,DISPLAY,0,0
