# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x5CD85EDB5110, ROLE=RESPONDER, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,event,rssi_dbm,state,radio_status_code
1,0,BOOT,0,BOOT,0
2,4184,READY,0,LISTENING,0
3,31786,RANGING_REQ,-150,LISTENING,0
4,32471,RANGING_REQ,-150,LISTENING,0
5,33157,RANGING_REQ,-150,LISTENING,0
6,33843,RANGING_REQ,-150,LISTENING,0
7,34529,RANGING_REQ,-150,LISTENING,0
8,35215,RANGING_REQ,-150,LISTENING,0
9,35901,RANGING_REQ,-150,LISTENING,0
10,36587,RANGING_REQ,-150,LISTENING,0
11,37273,RANGING_REQ,-150,LISTENING,0
12,37958,RANGING_REQ,-150,LISTENING,0
13,38649,RANGING_REQ,-150,LISTENING,0
14,39335,RANGING_REQ,-150,LISTENING,0
15,40021,RANGING_REQ,-150,LISTENING,0
16,40706,RANGING_REQ,-150,LISTENING,0
17,41392,RANGING_REQ,-150,LISTENING,0
18,42077,RANGING_REQ,-150,LISTENING,0
19,42763,RANGING_REQ,-150,LISTENING,0
20,43448,RANGING_REQ,-150,LISTENING,0
21,44133,RANGING_REQ,-150,LISTENING,0
22,44819,RANGING_REQ,-150,LISTENING,0
23,45509,RANGING_REQ,-150,LISTENING,0
24,46194,RANGING_REQ,-150,LISTENING,0
25,46879,RANGING_REQ,-150,LISTENING,0
26,47564,RANGING_REQ,-150,LISTENING,0
27,48249,RANGING_REQ,-150,LISTENING,0
28,48935,RANGING_REQ,-150,LISTENING,0
29,49620,RANGING_REQ,-150,LISTENING,0
30,50305,RANGING_REQ,-150,LISTENING,0
31,50991,RANGING_REQ,-150,LISTENING,0
32,51677,RANGING_REQ,-150,LISTENING,0
33,52367,RANGING_REQ,-150,LISTENING,0
34,53052,RANGING_REQ,-150,LISTENING,0
35,53738,RANGING_REQ,-150,LISTENING,0
36,54423,RANGING_REQ,-150,LISTENING,0
37,55108,RANGING_REQ,-150,LISTENING,0
38,55794,RANGING_REQ,-150,LISTENING,0
39,56480,RANGING_REQ,-150,LISTENING,0
40,57166,RANGING_REQ,-150,LISTENING,0
41,57851,RANGING_REQ,-150,LISTENING,0
42,58537,RANGING_REQ,-150,LISTENING,0
43,59228,RANGING_REQ,-150,LISTENING,0
44,59914,RANGING_REQ,-150,LISTENING,0
45,60600,RANGING_REQ,-150,LISTENING,0
46,61286,RANGING_REQ,-150,LISTENING,0
47,61972,RANGING_REQ,-150,LISTENING,0
48,62658,RANGING_REQ,-150,LISTENING,0
49,63344,RANGING_REQ,-150,LISTENING,0
50,64030,RANGING_REQ,-150,LISTENING,0
51,64716,RANGING_REQ,-150,LISTENING,0
52,65402,RANGING_REQ,-150,LISTENING,0
53,66093,RANGING_REQ,-150,LISTENING,0
54,66779,RANGING_REQ,-150,LISTENING,0
55,67465,RANGING_REQ,-150,LISTENING,0
56,68151,RANGING_REQ,-150,LISTENING,0
57,68837,RANGING_REQ,-150,LISTENING,0
58,69523,RANGING_REQ,-150,LISTENING,0
59,70209,RANGING_REQ,-150,LISTENING,0
60,70895,RANGING_REQ,-150,LISTENING,0
61,71581,RANGING_REQ,-150,LISTENING,0
62,72267,RANGING_REQ,-150,LISTENING,0
63,72958,RANGING_REQ,-150,LISTENING,0
