Lap Number,Start Time,End Time,Lap Time,Total Time
1,00:00.00,01:10.77,01:10.77,01:10.77
2,01:10.77,01:45.61,00:34.83,01:45.61
3,01:45.61,02:56.23,01:10.62,02:56.23
4,02:56.23,03:39.76,00:43.52,03:39.76
5,03:39.76,04:50.37,01:10.60,04:50.37
6,04:50.37,05:25.22,00:34.85,05:25.22
7,05:25.22,06:36.22,01:10.99,06:36.22
8,06:36.22,07:03.38,00:27.16,07:03.38
9,07:03.38,08:13.79,01:10.40,08:13.79
10,08:13.79,08:43.64,00:29.85,08:43.64
11,08:43.64,09:54.17,01:10.52,09:54.17
12,09:54.17,10:22.80,00:28.63,10:22.80
13,10:22.80,11:33.17,01:10.37,11:33.17
14,11:33.17,12:03.32,00:30.15,12:03.32
15,12:03.32,13:13.84,01:10.52,13:13.84
16,13:13.84,13:42.68,00:28.83,13:42.68
17,13:42.68,14:57.44,01:14.76,14:57.44
18,14:57.44,15:26.54,00:29.09,15:26.54
19,15:26.54,16:37.22,01:10.68,16:37.22
20,16:37.22,17:12.50,00:35.28,17:12.50
