# CSV_SCHEMA_V=1, FW=0.7-offload-mode, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.0, SF=6, CR=7, TXPOWER=12
# SITE=ParadeGTest, SESSION_ID=2026-07-13_ParadeGTest_S1, BOOT_UTC=NA, RUN_ID=T1_distance_S1, TRUE_DISTANCE_M=52m
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5898,SUCCESS,-7.8425,0,DISPLAY,0,0
2,6545,SUCCESS,-6.6932,0,DISPLAY,0,0
3,7193,SUCCESS,-6.1298,0,DISPLAY,0,0
4,7841,SUCCESS,-8.2707,0,DISPLAY,0,0
5,8489,SUCCESS,-9.1722,0,DISPLAY,0,0
6,9137,SUCCESS,-7.4369,0,DISPLAY,0,0
7,9784,SUCCESS,-3.0649,0,DISPLAY,0,0
8,10432,SUCCESS,-2.1635,0,DISPLAY,0,0
9,11080,SUCCESS,-1.7578,0,DISPLAY,0,0
10,11728,SUCCESS,-2.2536,0,DISPLAY,0,0
11,12381,SUCCESS,-1.9156,0,DISPLAY,0,0
12,13028,SUCCESS,-0.9465,0,DISPLAY,0,0
13,13676,SUCCESS,-3.1325,0,DISPLAY,0,0
14,14324,SUCCESS,-0.2254,0,DISPLAY,0,0
15,14972,SUCCESS,8.4285,0,DISPLAY,0,0
16,15620,SUCCESS,5.3185,0,DISPLAY,0,0
17,16268,SUCCESS,1.6226,0,DISPLAY,0,0
18,16915,SUCCESS,11.6737,0,DISPLAY,0,0
19,17563,SUCCESS,7.4594,0,DISPLAY,0,0
20,18211,SUCCESS,5.5439,0,DISPLAY,0,0
21,18864,SUCCESS,2.4339,0,DISPLAY,0,0
22,19512,SUCCESS,8.9017,0,DISPLAY,0,0
23,20159,SUCCESS,1.9381,0,DISPLAY,0,0
24,20807,SUCCESS,11.1103,0,DISPLAY,0,0
25,21455,SUCCESS,2.4564,0,DISPLAY,0,0
26,22103,SUCCESS,5.2734,0,DISPLAY,0,0
27,22751,SUCCESS,11.2455,0,DISPLAY,0,0
28,23399,SUCCESS,13.4315,0,DISPLAY,0,0
29,24047,SUCCESS,12.8906,0,DISPLAY,0,0
30,24695,SUCCESS,7.6397,0,DISPLAY,0,0
31,25347,SUCCESS,9.4201,0,DISPLAY,0,0
32,25995,SUCCESS,8.7215,0,DISPLAY,0,0
33,26644,SUCCESS,10.9751,0,DISPLAY,0,0
34,27292,SUCCESS,7.9552,0,DISPLAY,0,0
35,27940,SUCCESS,15.4147,0,DISPLAY,0,0
36,28588,SUCCESS,13.0934,0,DISPLAY,0,0
37,29236,SUCCESS,13.7019,0,DISPLAY,0,0
38,29884,SUCCESS,13.3639,0,DISPLAY,0,0
39,30532,SUCCESS,15.2569,0,DISPLAY,0,0
40,31180,SUCCESS,15.8203,0,DISPLAY,0,0
41,31833,SUCCESS,14.0625,0,DISPLAY,0,0
42,32481,SUCCESS,13.3639,0,DISPLAY,0,0
43,33129,SUCCESS,43.0664,0,DISPLAY,0,0
44,33777,SUCCESS,-12.7329,0,DISPLAY,0,0
45,34425,SUCCESS,21.9952,0,DISPLAY,0,0
46,35073,SUCCESS,14.6259,0,DISPLAY,0,0
47,35721,SUCCESS,17.8035,0,DISPLAY,0,0
48,36369,SUCCESS,18.5697,0,DISPLAY,0,0
49,37017,SUCCESS,20.0346,0,DISPLAY,0,0
50,37666,SUCCESS,23.3924,0,DISPLAY,0,0
51,38318,SUCCESS,22.7389,0,DISPLAY,0,0
52,38967,SUCCESS,19.9444,0,DISPLAY,0,0
53,39615,SUCCESS,24.6319,0,DISPLAY,0,0
54,40263,SUCCESS,27.2461,0,DISPLAY,0,0
55,40911,SUCCESS,18.5922,0,DISPLAY,0,0
56,41559,SUCCESS,26.6602,0,DISPLAY,0,0
57,42207,SUCCESS,9.4201,0,DISPLAY,0,0
58,42855,SUCCESS,46.2665,0,DISPLAY,0,0
59,43503,SUCCESS,26.8855,0,DISPLAY,0,0
60,44151,SUCCESS,28.8011,0,DISPLAY,0,0
61,44804,SUCCESS,26.5475,0,DISPLAY,0,0
62,45452,SUCCESS,26.8404,0,DISPLAY,0,0
63,46100,SUCCESS,26.1418,0,DISPLAY,0,0
64,46748,SUCCESS,26.9757,0,DISPLAY,0,0
65,47396,SUCCESS,25.0150,0,DISPLAY,0,0
66,48045,SUCCESS,29.9730,0,DISPLAY,0,0
67,48693,SUCCESS,22.0628,0,DISPLAY,0,0
68,49341,SUCCESS,32.8576,0,DISPLAY,0,0
69,49989,SUCCESS,44.3960,0,DISPLAY,0,0
70,50637,SUCCESS,38.0859,0,DISPLAY,0,0
71,51289,SUCCESS,49.3540,0,DISPLAY,0,0
72,51938,SUCCESS,33.2632,0,DISPLAY,0,0
73,52586,SUCCESS,39.3254,0,DISPLAY,0,0
74,53234,SUCCESS,41.2184,0,DISPLAY,0,0
75,53882,SUCCESS,34.8182,0,DISPLAY,0,0
76,54530,SUCCESS,33.1055,0,DISPLAY,0,0
77,55178,SUCCESS,16.0231,0,DISPLAY,0,0
78,55827,SUCCESS,34.2323,0,DISPLAY,0,0
79,56475,SUCCESS,14.3104,0,DISPLAY,0,0
80,57123,TIMEOUT,NaN,0,RANGING,1,-901
81,67773,SUCCESS,54.9880,0,DISPLAY,0,0
82,68421,SUCCESS,51.2695,0,DISPLAY,0,0
83,69069,SUCCESS,54.6725,0,DISPLAY,0,0
84,69718,SUCCESS,46.1989,0,DISPLAY,0,0
85,70366,SUCCESS,46.9201,0,DISPLAY,0,0
86,71014,SUCCESS,49.5343,0,DISPLAY,0,0
87,71662,SUCCESS,62.4699,0,DISPLAY,0,0
88,72311,SUCCESS,53.4781,0,DISPLAY,0,0
